Unnamed: 0,review_id,pseudo_author_id,author_name,review_text,review_rating,review_likes,author_app_version,review_timestamp,review_length,review_year,review_month,review_day,predicted_label
33275,c4c2a566-c5f8-43af-aafa-4163e3520c88,122492777936497371877,A Google user,Its an app to connect with professional people around the world.,5,0,3.3.2,2014-04-05 10:38:43,64.0,2014,4,5,Positive
106313,41174fd1-5314-459b-965a-9479d0896a3a,274038057369475251205,A Google user,Excellent portal.,5,0,,2017-02-28 05:32:53,17.0,2017,2,28,Positive
61685,0266f7e7-8ff3-4961-b64a-50a6f011edd1,318774556711082287630,A Google user,Remodeling and restoration,4,0,3.4.8,2015-04-08 01:19:08,26.0,2015,4,8,Positive
183052,59245977-3ea7-4c63-b0ba-931648b410ae,213135838370736854638,Tr************on,Best Social Business app ever.,5,0,4.1.453,2020-05-28 21:41:10,30.0,2020,5,28,Positive
75240,581b1e0b-5ed6-4f36-9aa3-dc574bd50fed,210983519304186756937,A Google user,Wonderful tool for networking and collaboration,5,0,3.5.3,2015-10-09 20:01:59,47.0,2015,10,9,Positive
20677,576a97af-6c09-44d1-a666-7f33092ca8d1,249113846530985945375,A Google user,An excellent top quality app would recommend it highly to anyone,5,0,3.2.1,2013-11-15 20:53:44,64.0,2013,11,15,Positive
95954,083a655c-4cbe-4db9-a8d9-bdbd63a3fa6b,289055115052272899472,A Google user,"Used to work fine, then I had to reset my phone and now it won't let me log in, says my login details are wrong even though I can log on perfectly well on my laptop. Tried re-installing but still doesn't work",1,8,4.0.68.1,2016-09-30 10:31:54,208.0,2016,9,30,Bug Report
306298,fb59d196-7c23-4cda-be9b-d686472f3e65,317454837716187269168,mo**********an,Nice,5,0,1.0.0,2023-06-23 15:25:26,4.0,2023,6,23,Positive
195446,0bb14f76-d03e-4892-bd56-f2aba5815865,223729593940741571964,IK***********NY,Excellent app,5,1,4.1.475,2020-08-03 06:22:44,13.0,2020,8,3,Positive
118544,e398cadd-fe75-40c5-8439-c43b4f5d7790,962013755585858511791,A Google user,Get you connected!,4,0,,2017-10-21 22:16:04,18.0,2017,10,21,Positive
141695,0c803716-5ce8-4043-8d2c-58f893269465,193595982362312650619,A Google user,Good app for allowing prospective employers to find you according to your skills. I've had some great job offers.,4,1,4.1.260,2019-01-17 16:35:44,113.0,2019,1,17,Positive
305892,cb0a2124-4dc2-49e7-99c8-ef150b42d8e3,172170066562536151859,Ak*********re,Linkedin :jobs &business,5,0,4.1.726,2023-06-19 10:41:20,24.0,2023,6,19,Positive
168355,0ab4c9fb-8bd6-4758-8f54-9b48d5b583d9,305281200603516387779,A Google user,LinkedIn crashed everytime I try to open new page,1,0,4.1.385,2019-12-09 05:22:07,49.0,2019,12,9,Bug Report
185570,e5e0172d-e5ef-4d89-9b1c-8320c1c19ff2,546698445913566973010,Io************ey,Get connected with like minded humans 😊 Giving you positive support and direction.,5,0,4.1.456,2020-06-10 22:17:41,82.0,2020,6,10,Positive
265602,129fa3db-36ba-431d-96a9-1422e7ed83b5,282303325850159543517,Ma*******el,A great place to network with the boys ;),5,0,4.1.685,2022-04-12 01:28:21,41.0,2022,4,12,Positive
220300,fabc980d-d2b1-49b8-b77e-1c111d64b5cb,726435471258340963279,Ve*******up,Posts keep failing,2,0,4.1.542.1,2021-02-24 05:52:39,18.0,2021,2,24,Negative
270996,c072b43c-1cea-4e10-91dc-ef99f5fb7def,187541527068644707465,UT*******AR,Good,4,0,1.0.0,2022-05-26 17:20:55,4.0,2022,5,26,Positive
234420,fac961b9-122d-4cbb-9869-b93c483d70cc,111406225616013704762,SU***** G,Good 👍,5,0,4.1.589,2021-07-02 14:44:30,6.0,2021,7,2,Positive
128347,9665502a-fce2-4994-b081-8972f2b0f2f5,240629798939065464535,A Google user,"I had to turn off notification for this app. It constantly creates one with 
the text 'see what updates you might have missed'. It's very annoying. 
Otherwise it's LinkedIn, it's a great app.",3,2,4.1.178,2018-05-31 06:45:58,191.0,2018,5,31,Positive
238519,68cd745f-8b5a-49c9-bfb8-7cad2c30889b,264132094287816469722,Di********ta,Good,5,0,1.0.0,2021-08-11 13:32:38,4.0,2021,8,11,Positive
127502,ac031fc9-b8e6-4d7f-aa6a-584592d4e0b5,274360114638527388788,A Google user,I like it,5,0,4.1.159,2018-05-12 12:18:44,9.0,2018,5,12,Positive
148296,3557816c-64b4-499c-9122-dea1141feb2c,802493559320341985171,A Google user,to much overrated,2,0,4.1.289,2019-04-02 19:49:41,17.0,2019,4,2,Negative
137887,e3e46f3f-02fc-43e0-b064-6b64455483bd,256007516772872335566,A Google user,All well,5,0,4.1.145,2018-11-17 09:58:06,8.0,2018,11,17,Positive
261808,91188205-5122-4cac-8786-54dc13288bcd,100148716715847937295,Ka*****de,Not letting me up load my 9 pictures at a time I need this as it is for work purposes. Can this be looked into please,4,0,4.1.677,2022-03-11 19:14:05,117.0,2022,3,11,Positive
320378,5d86850d-db6c-4212-87be-bd9a87675a15,132621133481530630277,Ki***********en,"Randomly enables ""job alerts"" notification spam.",1,0,4.1.875,2023-10-30 15:11:12,48.0,2023,10,30,Negative
240651,017da3e0-f3f9-4629-9419-7b50b5638220,177723435539418994282,AR****AI,"Very good app for jobs, business communication.",5,3,4.1.609,2021-09-01 15:29:52,47.0,2021,9,1,Positive
